case_id,case_name,year,domain,jurisdiction,access_level,outcome,plaintiff_type,representation,outcome_type,algorithm_type,notes,legal_citation,docket_number,primary_source_url,secondary_source_url,verification_status,last_verified
EMP-11,Lyft Driver Deactivation,2022,Employment,US-Federal,None,Denied,individual,private_counsel,none,machine_learning,Arbitration clause barred class action; Rogers v. Lyft,Rogers v. Lyft,20-15689 (9th Cir.),https://www.classlawgroup.com/lyft-lawsuit,https://www.workcompacademy.com/2022/02/9th-circuit-sends-lyft-drivers-a-b-5-class-action-to-arbitration/,Verified,2025-01-27
EMP-12,LinkedIn Pay Discrimination,2022,Employment,US-Federal,Partial,Achieved,federal_agency,government,monetary,statistical_model,DOL settlement $1.8M for gender pay gap; algorithm found to rank men over women,DOL Settlement,OFCCP 2022,https://www.hrdive.com/news/linkedins-18m-agreement-with-dol-settles-charges-of-gender-pay-bias/623474/,https://www.shrm.org/topics-tools/news/benefits-compensation/linkedin-to-pay-1-8-million-to-settle-womens-wage-discrimination-claims,Verified,2025-01-27
EMP-13,Kroger Scheduling AI,2022,Employment,US-Federal,None,Ongoing,union,union_counsel,pending,machine_learning,UFCW union grievances over scheduling; multiple NLRB cases,,NLRB Cases,https://www.nlrb.gov/case/09-CB-233613,,Verified,2025-01-27
EMP-14,Starbucks Scheduling,2023,Employment,US-Federal,Partial,Ongoing,union,union_counsel,pending,machine_learning,NLRB complaint: hours cuts at 300 unionized stores without union negotiation; up to $30M damages,,NLRB Complaint,https://san.com/cc/federal-officials-say-starbucks-broke-the-law-when-it-cut-unionized-workers-hours/,https://news.bloomberglaw.com/daily-labor-report/starbucks-is-racking-up-labor-law-violations-as-rulings-roll-in,Verified,2025-01-27
EMP-15,Delta Biometric (DAL Global),2023,Employment,US-IL,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,BIPA fingerprint scan class action; motion to dismiss denied,Nseumen v. DAL Global Services LLC,1:21-cv-02630 (N.D. Ill.),https://topclassactions.com/lawsuit-settlements/privacy/delta-airlines-baggage-handler-co-cant-get-bipa-class-action-tossed/,,Verified,2025-01-27
EMP-18,ACLU v. Aon,2024,Employment,US-Federal,None,Ongoing,nonprofit,public_interest,pending,machine_learning,FTC complaint: ADEPT-15 personality test vidAssessAI gridChallenge discriminate,,FTC Complaint,https://www.aclu.org/press-releases/aclu-files-ftc-complaint-against-major-hiring-technology-vendor-for-deceptively-marketing-online-hiring-tests-as-bias-free,https://assets.aclu.org/live/uploads/2024/05/In-re-Aon-Consulting_FTC-Act-complaint_052924.pdf,Verified,2025-01-27
EMP-19,Fifth Third Bank,2024,Employment,US-Federal,Full,Achieved,federal_agency,government,monetary,statistical_model,Auto-lending discrimination; $18M settlement,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/fifth-third-bank-national-association/,,Verified,2025-01-27
EMP-20,Uber/Lyft Massachusetts,2024,Employment,US-MA,Partial,Achieved,state_AG,government,monetary,machine_learning,Gig worker classification; $175M settlement,,MA AG Settlement,https://www.mass.gov/news/ag-campbell-secures-175-million-settlement-with-uber-and-lyft,,Verified,2025-01-27
EMP-21,Uber/Lyft New York,2024,Employment,US-NY,Partial,Achieved,state_AG,government,monetary,machine_learning,Wage theft claims; $328M settlement,,NY AG Settlement,https://ag.ny.gov/press-release/2024/attorney-general-james-secures-328-million-uber-and-lyft-workers,,Verified,2025-01-27
EMP-22,Italy Teacher Mobility Algorithm,2019,Employment,Italy,Full,Achieved,union,union_counsel,system_modified,rule_based,Source code disclosed by court order,TAR Lazio,Italian Administrative Court,https://algorithmwatch.org/en/italian-teachers-algorithm-court-ruling/,,Verified,2025-01-27
EMP-23,Italy Deliveroo,2021,Employment,Italy,Partial,Achieved,union,union_counsel,injunctive,machine_learning,Algorithm found to discriminate workers; reliability scoring struck down,Tribunale di Bologna,Bologna Labour Court,https://techcrunch.com/2021/01/04/italian-court-rules-against-discriminatory-deliveroo-rider-ranking-algorithm/,https://apps.eurofound.europa.eu/platformeconomydb/italian-court-rules-that-the-deliveroo-algorithm-discriminates-workers-106121,Verified,2025-01-27
EMP-24,Brazil Credit Screening Employment,2022,Employment,Brazil,Partial,Achieved,individual,private_counsel,injunctive,statistical_model,TST ruled credit algorithms cannot be used for employment decisions,TST SDI-I,Superior Labor Court,https://www.littler.com/news-analysis/asap/brazil-data-protection-law-litigation-context-employment,,Verified,2025-01-27
EMP-25,Uber/Ola Amsterdam,2021,Employment,Netherlands,Partial,Achieved,union,public_interest,policy_change,machine_learning,GDPR Article 22 algorithmic transparency; first ADM ruling under GDPR,Rb. Amsterdam,C/13/689705/HA RK 20-258,https://gdprhub.eu/index.php?title=Rb._Amsterdam_-_C%2F13%2F689705%2FHA_RK_20-258,https://techcrunch.com/2023/04/05/uber-ola-gdpr-worker-data-access-rights-appeal/,Verified,2025-01-27
EMP-26,Spain Glovo,2021,Employment,Spain,Partial,Achieved,union,union_counsel,policy_change,machine_learning,Mandatory employment status for riders; Rider Law enacted,,Spanish Supreme Court,https://www.reuters.com/technology/spain-court-rules-food-delivery-riders-are-employees-2021-09-23/,,Verified,2025-01-27
EMP-27,Cothron v. White Castle,2023,Employment,US-IL,Partial,Achieved,private_class,private_counsel,monetary,machine_learning,BIPA per-scan damages ruling; landmark IL Supreme Court decision,Cothron v. White Castle,2023 IL 128004,https://courts.illinois.gov/Opinions/SupremeCourt/2023/129077.pdf,,Verified,2025-01-27
EMP-28,Roach v. Walmart (BIPA),2021,Employment,US-IL,Partial,Achieved,private_class,private_counsel,monetary,machine_learning,$10M BIPA settlement for handprint scans,Roach v. Walmart Inc.,2019-CH-01107 (Cook County),https://topclassactions.com/lawsuit-settlements/privacy/walmart-fights-employee-handprint-scan-class-action/,https://complianceconcourse.willkie.com/articles/news-alerts-2021-07-july-20210705-walmart-settles-bipa-class-action-suit/,Verified,2025-01-27
EMP-29,Rios v. Uber,2022,Employment,US-Federal,None,Denied,individual,private_counsel,none,machine_learning,Arbitration enforced per FAA; drivers not exempt from FAA,Singh v. Uber Techs. Inc.,3rd Circuit,https://www.hrdive.com/news/uber-drivers-must-arbitrate-wage-hour-claims-3rd-circuit/650343/,,Verified,2025-01-27
EMP-30,Proctorio Litigation,2021,Employment,US-Federal,Partial,Ongoing,private_class,public_interest,pending,machine_learning,Exam surveillance software challenges,,Multiple Courts,https://www.eff.org/cases/proctorio-litigation,,Verified,2025-01-27
EMP-31,Teleperformance Colombia,2022,Employment,Colombia,Partial,Achieved,union,union_counsel,policy_change,machine_learning,Surveillance disclosure; global union agreement signed April 2023,,Colombian Ministry of Labor,https://www.thebureauinvestigates.com/stories/2023-04-19/teleperformance-signs-historic-agreement-allowing-colombian-workers-to-unionise,https://www.nbcnews.com/tech/tech-news/big-tech-call-center-workers-face-pressure-accept-home-surveillance-n1276227,Verified,2025-01-27
EMP-32,Just Eat Netherlands,2021,Employment,Netherlands,Partial,Achieved,union,public_interest,policy_change,machine_learning,Algorithmic transparency requirements; related to Uber/Ola rulings,Rb. Amsterdam,C/13/692003/HA RK 20-302,https://gdprhub.eu/index.php?title=Rb._Amsterdam_-_C%2F13%2F692003%2FHA_RK_20-302,,Verified,2025-01-27
EMP-33,Bolt Rider Cases (EU),2022,Employment,EU,Partial,Ongoing,union,public_interest,pending,machine_learning,Multiple EU jurisdictions; GDPR claims related to Uber/Ola precedent,,Multiple Courts,https://www.workerinfoexchange.org/wie-report-managed-by-bots,,Verified,2025-01-27
EMP-34,Foodinho Italy,2021,Employment,Italy,Full,Achieved,federal_agency,government,policy_change,machine_learning,Full algorithmic disclosure ordered by Garante,,Italian DPA (Garante),https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9685994,,Verified,2025-01-27
EMP-35,Belgium Deliveroo Riders,2021,Employment,Belgium,Partial,Denied,union,union_counsel,none,machine_learning,Brussels Labour Tribunal: riders are self-employed; algorithm not controlling,Brussels Labour Tribunal,Brussels Dec 2021,https://www.twobirds.com/en/insights/2021/belgium/deliveroo-judgment-in-belgium,https://www.lexology.com/library/detail.aspx?g=ee5d6ff8-461f-45df-b8b2-c968edd47d5e,Verified,2025-01-27
HOU-01,DOJ v. Meta (Housing Ads),2022,Housing,US-Federal,Full,Achieved,federal_agency,government,policy_change,machine_learning,Housing ad targeting discrimination; VRS system required,United States v. Meta Platforms Inc.,1:22-cv-05187 (S.D.N.Y.),https://www.justice.gov/crt/case/united-states-v-meta-platforms-inc-fka-facebook-inc-sdny,https://www.justice.gov/archives/opa/pr/justice-department-secures-groundbreaking-settlement-agreement-meta-platforms-formerly-known,Verified,2025-01-27
HOU-02,Louis v. SafeRent,2024,Housing,US-Federal,Full,Achieved,private_class,public_interest,monetary,statistical_model,$2.275M settlement; algorithm modified,Louis v. SafeRent Solutions LLC,Federal Court MA,https://www.nhlp.org/wp-content/uploads/Louis-v.-SafeRent.pdf,,Verified,2025-01-27
HOU-03,CT Fair Housing v. CoreLogic,2024,Housing,US-CT,Partial,Denied,nonprofit,public_interest,pending,statistical_model,CrimSAFE tenant screening; 2d Cir Feb 2026 ruled against plaintiffs on FHA and FCRA,,CT Federal Court,https://www.justice.gov/crt/case/connecticut-fair-housing-center-v-corelogic-rental-property-solutions,,Verified,2025-01-27
HOU-04,NFHA v. SafeRent,2023,Housing,US-Federal,Partial,Ongoing,nonprofit,public_interest,pending,statistical_model,National class action; discovery ongoing,,Federal Court,https://nationalfairhousing.org/nfha-v-saferent/,,Verified,2025-01-27
HOU-05,Open Communities v. PERQ/Harbor,2024,Housing,US-IL,Partial,Achieved,nonprofit,public_interest,policy_change,machine_learning,AI chatbot voucher discrimination; consent decree Jan 2024,Open Communities v. Harbor Group,23-CV-14070 (N.D. Ill.),https://www.open-communities.org/post/press-release-open-communities-reaches-accord-in-case-addressing-artificial-intelligence-communicat,https://www.wbez.org/stories/housing-lawsuit-alleges-ai-discrimination/227839b7-7f8a-491f-b37d-c69df95d475f,Verified,2025-01-27
HOU-06,Redfin Steering,2022,Housing,US-Federal,Partial,Achieved,nonprofit,public_interest,monetary,machine_learning,$4M settlement; minimum price policy changed; NFHA case,NFHA v. Redfin Corp.,W.D. Wash.,https://nationalfairhousing.org/national-fair-housing-alliance-and-redfin-agree-to-settlement-which-greatly-expands-access-to-real-estate-services-in-communities-of-color-%EF%BF%BC/,https://topclassactions.com/lawsuit-settlements/employment-labor/discrimination/redfin-settles-lawsuit-over-alleged-racist-redlining-for-4m/,Verified,2025-01-27
HOU-07,State Farm Homeowners Algorithm,2022,Housing,US-IL,Partial,Ongoing,private_class,private_counsel,pending,statistical_model,Algorithm-based claims scrutiny for Black homeowners; survived partial MTD Sept 2023,,N.D. Ill.,https://sanfordheisler.com/case/discrimination-harassment/state-farm-algorithm-bias-lawsuit/,https://www.law.nyu.edu/news/deborah-archer-cril-alexander-rose-state-farm,Verified,2025-01-27
HOU-08,ERC v. Entrata,2024,Housing,US-DC,Partial,Achieved,nonprofit,public_interest,policy_change,statistical_model,$235K settlement; Entrata to change nationwide practices,ERC v. Adams Investment Group,D.C. Superior Court,https://oag.dc.gov/release/attorney-general-schwalb-announces-resolution,https://equalrightscenter.org/press-release-two-settlements/,Verified,2025-01-27
HOU-09,Yardi Systems (Antitrust),2024,Housing,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,Rent pricing algorithm antitrust; per se price fixing found Dec 2024,Duffy v. Yardi Systems Inc.,W.D. Wash.,https://www.hklaw.com/en/insights/publications/2024/12/latest-collusion-by-algorithm-ruling-offers-more-of-same,https://www.theantitrustattorney.com/quick-update-on-algorithmic-pricing-yardi-and-the-per-se-standard/,Verified,2025-01-27
HOU-10,Facebook Marketplace Housing,2023,Housing,US-Federal,Partial,Achieved,federal_agency,government,policy_change,machine_learning,Part of DOJ v. Meta settlement; VRS compliance metrics finalized Jan 2023,,Part of Meta settlement,https://www.consumerfinancemonitor.com/2023/01/30/justice-department-finalizes-compliance-metrics-for-metas-formerly-facebook-target-advertising-system-pursuant-to-settlement/,,Verified,2025-01-27
HOU-11,Zillow Zestimate,2019,Housing,US-Federal,None,Denied,individual,private_counsel,none,machine_learning,Accuracy claims dismissed; 7th Circuit affirmed; not appraisal,,7th Circuit,https://www.geekwire.com/2019/appeals-court-sides-zillow-lawsuit-zestimate-accuracy/,https://fgcclaw.com/zillow-zestimate-class-action-lawsuit-dismissed-with-prejudice-by-federal-judge/,Verified,2025-01-27
HOU-12,HUD v. Facebook,2019,Housing,US-Federal,Partial,Achieved,federal_agency,government,policy_change,machine_learning,Housing ad discrimination settlement,,HUD Settlement,https://www.hud.gov/press/press_releases_media_advisories/HUD_No_19_035,,Verified,2025-01-27
HOU-13,TransUnion Tenant Screening,2023,Housing,US-Federal,Partial,Achieved,federal_agency,government,monetary,statistical_model,CFPB $23M enforcement,,CFPB Enforcement,https://www.consumerfinance.gov/enforcement/actions/transunion-tenant-screening/,,Verified,2025-01-27
HOU-15,DOJ v. RealPage,2025,Housing,US-Federal,Full,Achieved,federal_agency,government,injunctive,machine_learning,DOJ antitrust action; Nov 2024 complaint; Jan 2025 Cortland consent decree; Dec 2025 LivCor consent decree; Nov 2025 settlement with RealPage ending confidential data sharing,United States v. RealPage Inc.,1:24-cv-00710 (M.D.N.C.),https://www.justice.gov/archives/opa/pr/justice-department-sues-realpage-algorithmic-pricing-scheme-harms-millions-american-renters,https://www.federalregister.gov/documents/2025/01/30/2025-01886/united-states-of-america-et-al-v-realpage-inc-et-al-proposed-final-judgment-and-competitive-impact,Verified,2025-12-27
HOU-16,AIR Property Management Settlement,2024,Housing,US-DC,Partial,Achieved,nonprofit,public_interest,policy_change,statistical_model,Equal Rights Center settlement for tenant screening discrimination against Housing Choice Voucher holders; updated screening processes required,,D.C. Superior Court,https://nlihc.org/resource/equal-rights-center-settles-voucher-discrimination-lawsuit,https://equalrightscenter.org/press-release-two-settlements/,Verified,2025-12-27
HLT-01,Lokken v. UnitedHealth,2025,Healthcare,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,nH Predict Medicare Advantage denials; Feb 2025 ruling: breach of contract and good faith claims survive MTD; exhaustion waived due to irreparable harm; 90% error rate alleged; Medicare preemption rejected for contract claims,Estate of Lokken v. UnitedHealth Group,0:23-cv-03514-JRT-SGE (D. Minn.),https://www.statnews.com/2023/11/14/unitedhealth-class-action-lawsuit-algorithm-medicare-advantage/,https://www.cbsnews.com/news/unitedhealth-lawsuit-ai-deny-claims-medicare-advantage-health-insurance-denials/,Verified,2025-12-27
HLT-02,Humana/nH Predict,2023,Healthcare,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,nH Predict denials; exhaustion requirement waived Aug 2025,Barrows v. Humana Inc.,3:23-cv-00654-RGJ (W.D. Ky.),https://www.healthcaredive.com/news/humana-lawsuit-algorithm-medicare-advantage-deny-claims/702403/,https://litigationtracker.law.georgetown.edu/wp-content/uploads/2023/12/Barrows-et-al-v.-Humana-Inc.-Docket-No.-3-23-cv-00654-W.D.-Ky.-Dec-12-2023-Court-Docket.pdf,Verified,2025-01-27
HLT-03,Cigna PxDx Auto-Denials,2023,Healthcare,US-Federal,Full,Ongoing,private_class,private_counsel,pending,rule_based,300K+ automated claim denials in 2.5 seconds,,Federal Court,https://www.propublica.org/article/cigna-pxdx-medical-health-insurance-denials-claims,,Verified,2025-01-27
HLT-04,Optum Risk Scoring,2019,Healthcare,US-Federal,Full,Achieved,academic,academic,system_modified,machine_learning,Obermeyer et al. Science study led to algorithm modification,Obermeyer et al. 2019,Science 366(6464),https://www.science.org/doi/10.1126/science.aax2342,https://pubmed.ncbi.nlm.nih.gov/31649194/,Verified,2025-01-27
HLT-05,Epic Sepsis Model,2021,Healthcare,US-Federal,Partial,Achieved,academic,academic,system_modified,machine_learning,External validation enabled; Wong et al. JAMA study,Wong et al. 2021,JAMA Intern Med,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2781307,,Verified,2025-01-27
HLT-06,Aetna Prior Authorization,2023,Healthcare,US-Federal,None,Ongoing,federal_agency,government,pending,machine_learning,Medicare Advantage denial automation; Senate investigation,,Senate PSI Report,https://www.psr.org/wp-content/uploads/2024/10/PSI-MA-Report.pdf,,Verified,2025-01-27
HLT-10,Olive AI Prior Authorization,2023,Healthcare,US-Federal,None,Ongoing,individual,private_counsel,pending,machine_learning,Company liquidated 2023; sold PA unit to Humata Health; JobsOhio lawsuit settled,,Federal Court,https://www.beckershospitalreview.com/healthcare-information-technology/digital-health/lawsuit-against-olive-ai-dropped/,,Verified,2025-01-27
HLT-11,NaviHealth Transitions,2024,Healthcare,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,Related to UnitedHealth litigation; nH Predict,,Federal Court,https://www.mcknights.com/news/humana-must-face-class-action-suit-over-use-of-ai-in-denying-post-acute-care/,,Verified,2025-01-27
HLT-12,Change Healthcare Breach,2024,Healthcare,US-Federal,Partial,Ongoing,federal_agency,government,pending,unknown,Data breach revealed algorithmic details; HHS investigation,,Multiple,https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html,,Verified,2025-01-27
HLT-13,Stanford Sepsis Model,2021,Healthcare,US-Federal,Full,Achieved,academic,academic,system_modified,machine_learning,Validation challenge successful,Sendak et al. 2021,Nature Medicine,https://www.nature.com/articles/s41591-021-01304-7,,Verified,2025-01-27
HLT-14,LACDMH Predictive Model,2019,Healthcare,US-CA,Partial,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,Mental health algorithm suspended after advocacy,,County Policy,https://www.wired.com/story/los-angeles-dcfs-predictive-policing/,,Verified,2025-01-27
HLT-15,VA Suicide Prediction (REACH VET),2023,Healthcare,US-Federal,None,Ongoing,federal_agency,government,pending,machine_learning,Accuracy concerns; GAO review,,VA/GAO,https://www.gao.gov/products/gao-21-228,,Verified,2025-01-27
HLT-16,Kisting-Leung v. Cigna (PxDx),2025,Healthcare,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,rule_based,Class action challenging Cigna PxDx auto-denial system; CA federal judge partially allowed case (state unfair competition claims survive preemption); ProPublica investigation revealed 300K+ claims denied in batches; Cigna denies PxDx uses AI,,E.D. Cal.,https://news.bloomberglaw.com/health-law-and-business/,https://www.propublica.org/article/cigna-pxdx-medical-health-insurance-denials-claims,Verified,2025-12-27
CJ-01,State v. Loomis (COMPAS),2016,Criminal Justice,US-WI,None,Denied,individual,public_interest,none,statistical_model,No right to algorithmic disclosure; due process satisfied by general info,State v. Loomis,881 N.W.2d 749 (Wis. 2016),https://scholar.google.com/scholar_case?case=10203328462253455498,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing,Verified,2025-01-27
CJ-02,Pasco County Intelligence-Led Policing,2024,Criminal Justice,US-FL,Full,Achieved,individual,public_interest,monetary,statistical_model,$105K settlement; program ended,Parks v. Nocco,M.D. Fla.,https://www.tampabay.com/news/pasco/2024/12/04/pasco-sheriff-settles-lawsuit-filed-over-controversial-policing-program/,https://ij.org/case/pasco-county-predictive-policing/,Verified,2025-01-27
CJ-03,Williams v. Detroit (Facial Recognition),2024,Criminal Justice,US-MI,Full,Achieved,individual,public_interest,policy_change,machine_learning,Strongest facial recognition policies adopted,,Settlement/Policy,https://www.aclu.org/press-releases/detroit-reaches-settlement-in-first-ever-lawsuit-challenging-police-use-of-facial-recognition-technology,,Verified,2025-01-27
CJ-04,Reid v. Jefferson Parish,2025,Criminal Justice,US-LA,Full,Achieved,individual,public_interest,monetary,machine_learning,$200K settlement; facial recognition misidentification,,Settlement,https://www.nola.com/news/courts/jefferson-parish-to-pay-200k-to-settle-civil-rights-lawsuit-over-facial-recognition-arrest/,,Verified,2025-01-27
CJ-05,Woodruff v. Detroit,2023,Criminal Justice,US-MI,None,Ongoing,individual,public_interest,pending,machine_learning,Pregnant woman wrongfully arrested; FR misidentification,,Federal Court,https://www.aclu.org/cases/woodruff-v-city-of-detroit,,Verified,2025-01-27
CJ-06,Parks v. McCormac (NJ),2024,Criminal Justice,US-NJ,Partial,Ongoing,individual,public_interest,pending,machine_learning,Facial recognition wrongful imprisonment; first case with discovery record,Parks v. McCormac,21-cv-04021 (D.N.J.),https://www.aclu.org/cases/parks-v-mccormac,https://newjerseymonitor.com/2024/02/01/lawsuit-seen-as-crucial-test-of-police-use-of-facial-recognition-technology/,Verified,2025-01-27
CJ-07,Williams v. Chicago (ShotSpotter),2024,Criminal Justice,US-IL,Full,Achieved,individual,public_interest,monetary,machine_learning,ShotSpotter wrongful arrest; $90K settlement,,Settlement,https://www.theguardian.com/us-news/2024/jan/shotspotter-lawsuit-settlement-chicago-false-arrest,,Verified,2025-01-27
CJ-08,FTC v. Rite Aid,2023,Criminal Justice,US-Federal,Full,Achieved,federal_agency,government,injunctive,machine_learning,5-year facial recognition ban,,FTC Order,https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v,Verified,2025-01-27
CJ-09,Clearview AI (ACLU v.),2022,Criminal Justice,US-IL,Partial,Achieved,nonprofit,public_interest,injunctive,machine_learning,Illinois BIPA; nationwide injunction,ACLU v. Clearview AI,IL State Court,https://www.aclu.org/cases/aclu-v-clearview-ai,,Verified,2025-01-27
CJ-10,Clearview AI Class Action,2025,Criminal Justice,US-IL,Partial,Achieved,private_class,private_counsel,monetary,machine_learning,$51.75M settlement (23% equity),,IL Class Action,https://www.reuters.com/legal/clearview-ai-reaches-5175-mln-settlement-privacy-lawsuit-2024-09-04/,,Verified,2025-01-27
CJ-11,LAPD LASER Program,2019,Criminal Justice,US-CA,Full,Achieved,nonprofit,public_interest,system_discontinued,statistical_model,Audit revealed racial bias; program ended,,OIG Audit,https://oig.lacity.org/sites/g/files/wph1496/files/2019-03/LASER_Phase1.pdf,https://www.brennancenter.org/our-work/research-reports/lapd-laser-and-palantir,Verified,2025-01-27
CJ-12,ShotSpotter Chicago,2024,Criminal Justice,US-IL,Partial,Achieved,nonprofit,public_interest,system_discontinued,machine_learning,City contract not renewed,,City Policy,https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2024/february/shotspotter.html,,Verified,2025-01-27
CJ-13,NYPD Gang Database,2023,Criminal Justice,US-NY,None,Ongoing,nonprofit,public_interest,pending,statistical_model,Due process challenge; discovery denied,,NY State Court,https://www.nyclu.org/en/cases/gang-database-lawsuits,,Verified,2025-01-27
CJ-14,Murphy v. Macy's/EssilorLuxottica,2024,Criminal Justice,US-TX,None,Ongoing,individual,private_counsel,pending,machine_learning,Harvey Eugene Murphy Jr. $10M lawsuit for wrongful arrest due to facial recognition misidentification; arrested for robbery despite being in California at time; spent 10 days in jail; filed Jan 2024 in Harris County TX,Murphy v. Macy's Inc.,Harris County TX (Jan 2024),https://www.click2houston.com/news/local/2024/01/18/lawsuit-texas-man-says-facial-recognition-technology-got-him-falsely-arrested-for-robbery/,,Verified,2025-12-27
CJ-15,Palantir/ICE (EPIC FOIA),2020,Criminal Justice,US-Federal,Partial,Achieved,nonprofit,public_interest,policy_change,machine_learning,FOIA; documents released,,FOIA,https://epic.org/foia/dhs/ice/palantir/,,Verified,2025-01-27
CJ-16,Amazon Ring/Police Partnerships,2023,Criminal Justice,US-Federal,None,Ongoing,nonprofit,public_interest,pending,machine_learning,Privacy claims; EFF advocacy,,Federal Court,https://www.eff.org/deeplinks/2023/07/amazons-ring-partnership-police-raises-civil-liberties-concerns,,Verified,2025-01-27
